Model,Accuracy,Precision,Recall,F1_Score,Training_Time,Prediction_Time,max_depth,min_samples_split
SVM - Linear,0.9210040605389442,0.9210980490566268,0.9210040605389442,0.921000755078614,1.5129219999944326,0.4961856000008993,,
SVM - Polynomial,0.9139904023624954,0.921894058327863,0.9139904023624954,0.9154916986351318,2.2243209999869578,0.7350595000025351,,
SVM - RBF,0.9210040605389442,0.9214106079511519,0.9210040605389442,0.9210779160652252,2.333214499987662,1.7774801999912597,,
Decision Tree,0.9088224437061646,0.9086263726440919,0.9088224437061646,0.9085516521274907,0.5744035999814514,0.006758700008504093,15.0,20.0
